scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-0_biod-1_budget-100_resolution-10km,0,1,1,10,228971.0014735659,3376.92,solution_es-0_biod-1_budget-100_resolution-10km_10km.rds,solution_es-0_biod-1_budget-100_resolution-10km_10km.tif,8.12732053645568,0.16344996011284893
es-5_biod-1_budget-100_resolution-10km,0.05,1,1,10,228971.0014735659,3255.3300000000004,solution_es-5_biod-1_budget-100_resolution-10km_10km.rds,solution_es-5_biod-1_budget-100_resolution-10km_10km.tif,8.12732053645568,0.16344996011284893
es-10_biod-1_budget-100_resolution-10km,0.1,1,1,10,228971.0014735659,3620.75,solution_es-10_biod-1_budget-100_resolution-10km_10km.rds,solution_es-10_biod-1_budget-100_resolution-10km_10km.tif,8.12732053645568,0.16344996011284893
es-15_biod-1_budget-100_resolution-10km,0.15000000000000002,1,1,10,228971.0014735659,3670.1000000000004,solution_es-15_biod-1_budget-100_resolution-10km_10km.rds,solution_es-15_biod-1_budget-100_resolution-10km_10km.tif,8.12732053645568,0.16344996011284893
es-20_biod-1_budget-100_resolution-10km,0.2,1,1,10,229035.49660271136,4504.4,solution_es-20_biod-1_budget-100_resolution-10km_10km.rds,solution_es-20_biod-1_budget-100_resolution-10km_10km.tif,8.129609789611024,0.16349599968213263
es-25_biod-1_budget-100_resolution-10km,0.25,1,1,10,233147.14653475565,4998.75,solution_es-25_biod-1_budget-100_resolution-10km_10km.rds,solution_es-25_biod-1_budget-100_resolution-10km_10km.tif,8.27555271127518,0.16643108322138256
es-30_biod-1_budget-100_resolution-10km,0.30000000000000004,1,1,10,248758.56641873156,6203.860000000001,solution_es-30_biod-1_budget-100_resolution-10km_10km.rds,solution_es-30_biod-1_budget-100_resolution-10km_10km.tif,8.829679708186262,0.17757522785506616
es-35_biod-1_budget-100_resolution-10km,0.35000000000000003,1,1,10,269750.2426897906,5663.200000000001,solution_es-35_biod-1_budget-100_resolution-10km_10km.rds,solution_es-35_biod-1_budget-100_resolution-10km_10km.tif,9.57477878428959,0.19256004526480505
es-40_biod-1_budget-100_resolution-10km,0.4,1,1,10,293731.83854960545,5920.529999999999,solution_es-40_biod-1_budget-100_resolution-10km_10km.rds,solution_es-40_biod-1_budget-100_resolution-10km_10km.tif,10.426004988805078,0.20967920385477057
es-45_biod-1_budget-100_resolution-10km,0.45,1,1,10,320130.8224454522,8712.029999999999,solution_es-45_biod-1_budget-100_resolution-10km_10km.rds,solution_es-45_biod-1_budget-100_resolution-10km_10km.tif,11.363036327173258,0.22852400444972293
es-50_biod-1_budget-100_resolution-10km,0.5,1,1,10,349113.7748518499,4835,solution_es-50_biod-1_budget-100_resolution-10km_10km.rds,solution_es-50_biod-1_budget-100_resolution-10km_10km.tif,12.391785569582575,0.24921335980167217
es-55_biod-1_budget-100_resolution-10km,0.55,1,1,10,381319.5043918801,4273.610000000001,solution_es-55_biod-1_budget-100_resolution-10km_10km.rds,solution_es-55_biod-1_budget-100_resolution-10km_10km.tif,13.534927213711004,0.2722032806861771
es-60_biod-1_budget-100_resolution-10km,0.6000000000000001,1,1,10,417654.32252777804,3884.3799999999974,solution_es-60_biod-1_budget-100_resolution-10km_10km.rds,solution_es-60_biod-1_budget-100_resolution-10km_10km.tif,14.824630764482945,0.29814073362475707
es-65_biod-1_budget-100_resolution-10km,0.65,1,1,10,458597.2077478973,3182.1699999999983,solution_es-65_biod-1_budget-100_resolution-10km_10km.rds,solution_es-65_biod-1_budget-100_resolution-10km_10km.tif,16.27789755254667,0.3273676353418552
es-70_biod-1_budget-100_resolution-10km,0.7000000000000001,1,1,10,504391.06213044375,3526.8600000000006,solution_es-70_biod-1_budget-100_resolution-10km_10km.rds,solution_es-70_biod-1_budget-100_resolution-10km_10km.tif,17.903349381693243,0.3600573804365193
es-75_biod-1_budget-100_resolution-10km,0.75,1,1,10,555335.9364961004,3692.1699999999983,solution_es-75_biod-1_budget-100_resolution-10km_10km.rds,solution_es-75_biod-1_budget-100_resolution-10km_10km.tif,19.711636549039874,0.3964241588906984
es-80_biod-1_budget-100_resolution-10km,0.8,1,1,10,611824.2570787998,4023.720000000001,solution_es-80_biod-1_budget-100_resolution-10km_10km.rds,solution_es-80_biod-1_budget-100_resolution-10km_10km.tif,21.71668821491498,0.43674810247597357
es-85_biod-1_budget-100_resolution-10km,0.8500000000000001,1,1,10,675288.4333602715,3705.3499999999913,solution_es-85_biod-1_budget-100_resolution-10km_10km.rds,solution_es-85_biod-1_budget-100_resolution-10km_10km.tif,23.969347721587035,0.4820517305120283
es-90_biod-1_budget-100_resolution-10km,0.9,1,1,10,749067.7024538176,3239.0699999999924,solution_es-90_biod-1_budget-100_resolution-10km_10km.rds,solution_es-90_biod-1_budget-100_resolution-10km_10km.tif,26.588141215128584,0.5347187429847299
es-95_biod-1_budget-100_resolution-10km,0.9500000000000001,1,1,10,842954.7841798149,3028.820000000007,solution_es-95_biod-1_budget-100_resolution-10km_10km.rds,solution_es-95_biod-1_budget-100_resolution-10km_10km.tif,29.92066106484275,0.6017396306275595
es-100_biod-1_budget-100_resolution-10km,1,1,1,10,NA,NA,NA,NA,8.12732053645568,0.16344996011284893
