scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-5km,0.05,0,1,5,669840,11.859999999998763,solution_es-5_biod-0_budget-100_resolution-5km_5km.rds,solution_es-5_biod-0_budget-100_resolution-5km_5km.tif,55820,0.12141812542189281
es-10_biod-0_budget-100_resolution-5km,0.1,0,1,5,674271.0116775287,50.400000000001455,solution_es-10_biod-0_budget-100_resolution-5km_5km.rds,solution_es-10_biod-0_budget-100_resolution-5km_5km.tif,56189.2509731274,0.12222130996089924
es-15_biod-0_budget-100_resolution-5km,0.15000000000000002,0,1,5,694895.108632789,59.36000000000058,solution_es-15_biod-0_budget-100_resolution-5km_5km.rds,solution_es-15_biod-0_budget-100_resolution-5km_5km.tif,57907.925719399085,0.12595972389680493
es-20_biod-0_budget-100_resolution-5km,0.2,0,1,5,728648.3511931534,63.82999999999993,solution_es-20_biod-0_budget-100_resolution-5km_5km.rds,solution_es-20_biod-0_budget-100_resolution-5km_5km.tif,60720.695932762785,0.13207798413595143
es-25_biod-0_budget-100_resolution-5km,0.25,0,1,5,768204.292755156,66.78000000000065,solution_es-25_biod-0_budget-100_resolution-5km_5km.rds,solution_es-25_biod-0_budget-100_resolution-5km_5km.tif,64017.024396263005,0.13924806695237968
es-30_biod-0_budget-100_resolution-5km,0.30000000000000004,0,1,5,838539.8059035162,67.96999999999935,solution_es-30_biod-0_budget-100_resolution-5km_5km.rds,solution_es-30_biod-0_budget-100_resolution-5km_5km.tif,69878.31715862635,0.15199738941305804
es-35_biod-0_budget-100_resolution-5km,0.35000000000000003,0,1,5,929394.9059179995,66.07000000000153,solution_es-35_biod-0_budget-100_resolution-5km_5km.rds,solution_es-35_biod-0_budget-100_resolution-5km_5km.tif,77449.57549316662,0.1684661818542039
es-40_biod-0_budget-100_resolution-5km,0.4,0,1,5,1030549.2626325721,69.72999999999956,solution_es-40_biod-0_budget-100_resolution-5km_5km.rds,solution_es-40_biod-0_budget-100_resolution-5km_5km.tif,85879.105219381,0.1868018625698089
es-45_biod-0_budget-100_resolution-5km,0.45,0,1,5,1139153.123468824,69.72999999999956,solution_es-45_biod-0_budget-100_resolution-5km_5km.rds,solution_es-45_biod-0_budget-100_resolution-5km_5km.tif,94929.42695573533,0.20648787295485285
es-50_biod-0_budget-100_resolution-5km,0.5,0,1,5,1255814.6848358072,66.35000000000036,solution_es-50_biod-0_budget-100_resolution-5km_5km.rds,solution_es-50_biod-0_budget-100_resolution-5km_5km.tif,104651.22373631726,0.22763445734809631
es-55_biod-0_budget-100_resolution-5km,0.55,0,1,5,1382480.999421413,55.06999999999971,solution_es-55_biod-0_budget-100_resolution-5km_5km.rds,solution_es-55_biod-0_budget-100_resolution-5km_5km.tif,115206.74995178443,0.2505945470278467
es-60_biod-0_budget-100_resolution-5km,0.6000000000000001,0,1,5,1521719.9215635462,70.32999999999993,solution_es-60_biod-0_budget-100_resolution-5km_5km.rds,solution_es-60_biod-0_budget-100_resolution-5km_5km.tif,126809.99346362885,0.2758336024922303
es-65_biod-0_budget-100_resolution-5km,0.65,0,1,5,1675961.4245811957,56.44000000000051,solution_es-65_biod-0_budget-100_resolution-5km_5km.rds,solution_es-65_biod-0_budget-100_resolution-5km_5km.tif,139663.45204843298,0.30379209132338136
es-70_biod-0_budget-100_resolution-5km,0.7000000000000001,0,1,5,1847403.2700346122,67.38999999999942,solution_es-70_biod-0_budget-100_resolution-5km_5km.rds,solution_es-70_biod-0_budget-100_resolution-5km_5km.tif,153950.27250288436,0.33486838938534197
es-75_biod-0_budget-100_resolution-5km,0.75,0,1,5,2037332.2725560146,66.31000000000131,solution_es-75_biod-0_budget-100_resolution-5km_5km.rds,solution_es-75_biod-0_budget-100_resolution-5km_5km.tif,169777.6893796679,0.3692957503213844
es-80_biod-0_budget-100_resolution-5km,0.8,0,1,5,2248004.1110979505,68.13000000000102,solution_es-80_biod-0_budget-100_resolution-5km_5km.rds,solution_es-80_biod-0_budget-100_resolution-5km_5km.tif,187333.6759248292,0.40748304835516186
es-85_biod-0_budget-100_resolution-5km,0.8500000000000001,0,1,5,2485114.315918718,68.34000000000015,solution_es-85_biod-0_budget-100_resolution-5km_5km.rds,solution_es-85_biod-0_budget-100_resolution-5km_5km.tif,207092.85965989318,0.45046268018923963
es-90_biod-0_budget-100_resolution-5km,0.9,0,1,5,2760879.5397942876,63.68999999999869,solution_es-90_biod-0_budget-100_resolution-5km_5km.rds,solution_es-90_biod-0_budget-100_resolution-5km_5km.tif,230073.2949828573,0.5004490896892998
es-95_biod-0_budget-100_resolution-5km,0.9500000000000001,0,1,5,3110848.2524774713,61.57999999999811,solution_es-95_biod-0_budget-100_resolution-5km_5km.rds,solution_es-95_biod-0_budget-100_resolution-5km_5km.tif,259237.3543731226,0.5638859478200551
es-100_biod-0_budget-100_resolution-5km,1,0,1,5,NA,NA,NA,NA,55820,0.12141812542189281
