scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster
es-5_biod-0_budget-100_resolution-3km,0.05,0,1,3,1802265,31,solution_es-5_biod-0_budget-100_resolution-3km_3km.rds,solution_es-5_biod-0_budget-100_resolution-3km_3km.tif
es-10_biod-0_budget-100_resolution-3km,0.1,0,1,3,1808012.2473409846,137.75,solution_es-10_biod-0_budget-100_resolution-3km_3km.rds,solution_es-10_biod-0_budget-100_resolution-3km_3km.tif
es-15_biod-0_budget-100_resolution-3km,0.15000000000000002,0,1,3,1855468.4833041776,171.5,solution_es-15_biod-0_budget-100_resolution-3km_3km.rds,solution_es-15_biod-0_budget-100_resolution-3km_3km.tif
es-20_biod-0_budget-100_resolution-3km,0.2,0,1,3,1934849.0323986595,194.2300000000032,solution_es-20_biod-0_budget-100_resolution-3km_3km.rds,solution_es-20_biod-0_budget-100_resolution-3km_3km.tif
es-25_biod-0_budget-100_resolution-3km,0.25,0,1,3,2031174.8611544578,198.62999999999738,solution_es-25_biod-0_budget-100_resolution-3km_3km.rds,solution_es-25_biod-0_budget-100_resolution-3km_3km.tif
es-30_biod-0_budget-100_resolution-3km,0.30000000000000004,0,1,3,2196197.9156306637,235.06000000000495,solution_es-30_biod-0_budget-100_resolution-3km_3km.rds,solution_es-30_biod-0_budget-100_resolution-3km_3km.tif
es-35_biod-0_budget-100_resolution-3km,0.35000000000000003,0,1,3,2423421.749711468,242.4100000000035,solution_es-35_biod-0_budget-100_resolution-3km_3km.rds,solution_es-35_biod-0_budget-100_resolution-3km_3km.tif
es-40_biod-0_budget-100_resolution-3km,0.4,0,1,3,2679792.1283171177,249.16999999999825,solution_es-40_biod-0_budget-100_resolution-3km_3km.rds,solution_es-40_biod-0_budget-100_resolution-3km_3km.tif
es-45_biod-0_budget-100_resolution-3km,0.45,0,1,3,2956056.097331544,172.38999999999942,solution_es-45_biod-0_budget-100_resolution-3km_3km.rds,solution_es-45_biod-0_budget-100_resolution-3km_3km.tif
es-50_biod-0_budget-100_resolution-3km,0.5,0,1,3,3252389.648933174,187.47000000000116,solution_es-50_biod-0_budget-100_resolution-3km_3km.rds,solution_es-50_biod-0_budget-100_resolution-3km_3km.tif
es-55_biod-0_budget-100_resolution-3km,0.55,0,1,3,3572555.088541654,215.34000000000378,solution_es-55_biod-0_budget-100_resolution-3km_3km.rds,solution_es-55_biod-0_budget-100_resolution-3km_3km.tif
es-60_biod-0_budget-100_resolution-3km,0.6000000000000001,0,1,3,3923450.7528709704,228.66999999999825,solution_es-60_biod-0_budget-100_resolution-3km_3km.rds,solution_es-60_biod-0_budget-100_resolution-3km_3km.tif
es-65_biod-0_budget-100_resolution-3km,0.65,0,1,3,4313196.377091458,255.22000000000116,solution_es-65_biod-0_budget-100_resolution-3km_3km.rds,solution_es-65_biod-0_budget-100_resolution-3km_3km.tif
es-70_biod-0_budget-100_resolution-3km,0.7000000000000001,0,1,3,4749023.062929388,221.0899999999965,solution_es-70_biod-0_budget-100_resolution-3km_3km.rds,solution_es-70_biod-0_budget-100_resolution-3km_3km.tif
es-75_biod-0_budget-100_resolution-3km,0.75,0,1,3,5234331.177322638,222.92000000000553,solution_es-75_biod-0_budget-100_resolution-3km_3km.rds,solution_es-75_biod-0_budget-100_resolution-3km_3km.tif
es-80_biod-0_budget-100_resolution-3km,0.8,0,1,3,5774766.7158261,229.22000000000116,solution_es-80_biod-0_budget-100_resolution-3km_3km.rds,solution_es-80_biod-0_budget-100_resolution-3km_3km.tif
es-85_biod-0_budget-100_resolution-3km,0.8500000000000001,0,1,3,6385172.824659507,208.4499999999971,solution_es-85_biod-0_budget-100_resolution-3km_3km.rds,solution_es-85_biod-0_budget-100_resolution-3km_3km.tif
es-90_biod-0_budget-100_resolution-3km,0.9,0,1,3,7097558.9350921195,195.41999999999825,solution_es-90_biod-0_budget-100_resolution-3km_3km.rds,solution_es-90_biod-0_budget-100_resolution-3km_3km.tif
es-95_biod-0_budget-100_resolution-3km,0.9500000000000001,0,1,3,8005506.691000607,199.94000000000233,solution_es-95_biod-0_budget-100_resolution-3km_3km.rds,solution_es-95_biod-0_budget-100_resolution-3km_3km.tif
es-100_biod-0_budget-100_resolution-3km,1,0,1,3,NA,NA,NA,NA
