scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster
es-5_biod-0_budget-100_resolution-5km,0.05,0,1,5,673028,11.80000000000291,solution_es-5_biod-0_budget-100_resolution-5km_5km.rds,solution_es-5_biod-0_budget-100_resolution-5km_5km.tif
es-10_biod-0_budget-100_resolution-5km,0.1,0,1,5,677227.1984771383,55.79000000000087,solution_es-10_biod-0_budget-100_resolution-5km_5km.rds,solution_es-10_biod-0_budget-100_resolution-5km_5km.tif
es-15_biod-0_budget-100_resolution-5km,0.15000000000000002,0,1,5,697621.0657008076,70.05999999999767,solution_es-15_biod-0_budget-100_resolution-5km_5km.rds,solution_es-15_biod-0_budget-100_resolution-5km_5km.tif
es-20_biod-0_budget-100_resolution-5km,0.2,0,1,5,731125.1513544015,72.84999999999854,solution_es-20_biod-0_budget-100_resolution-5km_5km.rds,solution_es-20_biod-0_budget-100_resolution-5km_5km.tif
es-25_biod-0_budget-100_resolution-5km,0.25,0,1,5,770543.6802911056,82.66999999999825,solution_es-25_biod-0_budget-100_resolution-5km_5km.rds,solution_es-25_biod-0_budget-100_resolution-5km_5km.tif
es-30_biod-0_budget-100_resolution-5km,0.30000000000000004,0,1,5,840603.3426934772,86.29999999999563,solution_es-30_biod-0_budget-100_resolution-5km_5km.rds,solution_es-30_biod-0_budget-100_resolution-5km_5km.tif
es-35_biod-0_budget-100_resolution-5km,0.35000000000000003,0,1,5,931321.5681696376,84.76000000000204,solution_es-35_biod-0_budget-100_resolution-5km_5km.rds,solution_es-35_biod-0_budget-100_resolution-5km_5km.tif
es-40_biod-0_budget-100_resolution-5km,0.4,0,1,5,1032383.853447427,79.80999999999767,solution_es-40_biod-0_budget-100_resolution-5km_5km.rds,solution_es-40_biod-0_budget-100_resolution-5km_5km.tif
es-45_biod-0_budget-100_resolution-5km,0.45,0,1,5,1140904.6078127841,72.65999999999622,solution_es-45_biod-0_budget-100_resolution-5km_5km.rds,solution_es-45_biod-0_budget-100_resolution-5km_5km.tif
es-50_biod-0_budget-100_resolution-5km,0.5,0,1,5,1257482.0630481353,73.43000000000029,solution_es-50_biod-0_budget-100_resolution-5km_5km.rds,solution_es-50_biod-0_budget-100_resolution-5km_5km.tif
es-55_biod-0_budget-100_resolution-5km,0.55,0,1,5,1384058.4010161588,75.40000000000146,solution_es-55_biod-0_budget-100_resolution-5km_5km.rds,solution_es-55_biod-0_budget-100_resolution-5km_5km.tif
es-60_biod-0_budget-100_resolution-5km,0.6000000000000001,0,1,5,1523202.916102595,86.44999999999709,solution_es-60_biod-0_budget-100_resolution-5km_5km.rds,solution_es-60_biod-0_budget-100_resolution-5km_5km.tif
es-65_biod-0_budget-100_resolution-5km,0.65,0,1,5,1677344.2159769111,84.0199999999968,solution_es-65_biod-0_budget-100_resolution-5km_5km.rds,solution_es-65_biod-0_budget-100_resolution-5km_5km.tif
es-70_biod-0_budget-100_resolution-5km,0.7000000000000001,0,1,5,1848685.9889861143,75.37000000000262,solution_es-70_biod-0_budget-100_resolution-5km_5km.rds,solution_es-70_biod-0_budget-100_resolution-5km_5km.tif
es-75_biod-0_budget-100_resolution-5km,0.75,0,1,5,2038526.6706701939,79.32999999999447,solution_es-75_biod-0_budget-100_resolution-5km_5km.rds,solution_es-75_biod-0_budget-100_resolution-5km_5km.tif
es-80_biod-0_budget-100_resolution-5km,0.8,0,1,5,2249114.789101846,80.09000000000378,solution_es-80_biod-0_budget-100_resolution-5km_5km.rds,solution_es-80_biod-0_budget-100_resolution-5km_5km.tif
es-85_biod-0_budget-100_resolution-5km,0.8500000000000001,0,1,5,2486137.5798624647,80.90000000000146,solution_es-85_biod-0_budget-100_resolution-5km_5km.rds,solution_es-85_biod-0_budget-100_resolution-5km_5km.tif
es-90_biod-0_budget-100_resolution-5km,0.9,0,1,5,2761798.2182024145,72.41000000000349,solution_es-90_biod-0_budget-100_resolution-5km_5km.rds,solution_es-90_biod-0_budget-100_resolution-5km_5km.tif
es-95_biod-0_budget-100_resolution-5km,0.9500000000000001,0,1,5,3111602.8790355446,72.13999999999942,solution_es-95_biod-0_budget-100_resolution-5km_5km.rds,solution_es-95_biod-0_budget-100_resolution-5km_5km.tif
es-100_biod-0_budget-100_resolution-5km,1,0,1,5,NA,NA,NA,NA
