scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-10km,0.05,0,1,10,15439.93329311616,18.519999999999996,solution_es-5_biod-0_budget-100_resolution-10km_10km.rds,solution_es-5_biod-0_budget-100_resolution-10km_10km.tif,1286.6611077596801,0.011021729671721046
es-10_biod-0_budget-100_resolution-10km,0.1,0,1,10,35614.93935541024,19.28,solution_es-10_biod-0_budget-100_resolution-10km_10km.rds,solution_es-10_biod-0_budget-100_resolution-10km_10km.tif,2967.9116129508534,0.02542357058142748
es-15_biod-0_budget-100_resolution-10km,0.15000000000000002,0,1,10,58625.7903208883,20.269999999999996,solution_es-15_biod-0_budget-100_resolution-10km_10km.rds,solution_es-15_biod-0_budget-100_resolution-10km_10km.tif,4885.482526740691,0.04184976712275811
es-20_biod-0_budget-100_resolution-10km,0.2,0,1,10,83580.11088864949,18.86,solution_es-20_biod-0_budget-100_resolution-10km_10km.rds,solution_es-20_biod-0_budget-100_resolution-10km_10km.tif,6965.009240720791,0.059663301042749715
es-25_biod-0_budget-100_resolution-10km,0.25,0,1,10,110101.69512856189,19.94999999999999,solution_es-25_biod-0_budget-100_resolution-10km_10km.rds,solution_es-25_biod-0_budget-100_resolution-10km_10km.tif,9175.14126071349,0.07859561936360793
es-30_biod-0_budget-100_resolution-10km,0.30000000000000004,0,1,10,138141.46391938516,19.620000000000005,solution_es-30_biod-0_budget-100_resolution-10km_10km.rds,solution_es-30_biod-0_budget-100_resolution-10km_10km.tif,11511.788659948763,0.09861168716668593
es-35_biod-0_budget-100_resolution-10km,0.35000000000000003,0,1,10,167821.6829459163,20.659999999999997,solution_es-35_biod-0_budget-100_resolution-10km_10km.rds,solution_es-35_biod-0_budget-100_resolution-10km_10km.tif,13985.140245493027,0.1197987832828166
es-40_biod-0_budget-100_resolution-10km,0.4,0,1,10,199387.21805065242,20.230000000000018,solution_es-40_biod-0_budget-100_resolution-10km_10km.rds,solution_es-40_biod-0_budget-100_resolution-10km_10km.tif,16615.601504221035,0.14233170413570237
es-45_biod-0_budget-100_resolution-10km,0.45,0,1,10,233221.07456019268,18.159999999999997,solution_es-45_biod-0_budget-100_resolution-10km_10km.rds,solution_es-45_biod-0_budget-100_resolution-10km_10km.tif,19435.089546682724,0.16648385642292834
es-50_biod-0_budget-100_resolution-10km,0.5,0,1,10,269712.9291715575,16.92999999999998,solution_es-50_biod-0_budget-100_resolution-10km_10km.rds,solution_es-50_biod-0_budget-100_resolution-10km_10km.tif,22476.077430963123,0.19253340917103062
es-55_biod-0_budget-100_resolution-10km,0.55,0,1,10,309207.0952271677,17.159999999999968,solution_es-55_biod-0_budget-100_resolution-10km_10km.rds,solution_es-55_biod-0_budget-100_resolution-10km_10km.tif,25767.25793559731,0.22072614897186071
es-60_biod-0_budget-100_resolution-10km,0.6000000000000001,0,1,10,352128.53858327284,18.639999999999986,solution_es-60_biod-0_budget-100_resolution-10km_10km.rds,solution_es-60_biod-0_budget-100_resolution-10km_10km.tif,29344.044881939404,0.25136543586580046
es-65_biod-0_budget-100_resolution-10km,0.65,0,1,10,398850.59444153734,18.160000000000025,solution_es-65_biod-0_budget-100_resolution-10km_10km.rds,solution_es-65_biod-0_budget-100_resolution-10km_10km.tif,33237.54953679478,0.284717773573531
es-70_biod-0_budget-100_resolution-10km,0.7000000000000001,0,1,10,449667.502783184,20.170000000000016,solution_es-70_biod-0_budget-100_resolution-10km_10km.rds,solution_es-70_biod-0_budget-100_resolution-10km_10km.tif,37472.29189859867,0.3209932040343588
es-75_biod-0_budget-100_resolution-10km,0.75,0,1,10,504976.4926212353,19.659999999999968,solution_es-75_biod-0_budget-100_resolution-10km_10km.rds,solution_es-75_biod-0_budget-100_resolution-10km_10km.tif,42081.37438510294,0.3604752874629677
es-80_biod-0_budget-100_resolution-10km,0.8,0,1,10,565726.5576231314,20.03000000000003,solution_es-80_biod-0_budget-100_resolution-10km_10km.rds,solution_es-80_biod-0_budget-100_resolution-10km_10km.tif,47143.87980192762,0.40384145888865036
es-85_biod-0_budget-100_resolution-10km,0.8500000000000001,0,1,10,633571.6205266148,19.269999999999982,solution_es-85_biod-0_budget-100_resolution-10km_10km.rds,solution_es-85_biod-0_budget-100_resolution-10km_10km.tif,52797.63504388457,0.4522723639118278
es-90_biod-0_budget-100_resolution-10km,0.9,0,1,10,712182.4705448481,18.890000000000043,solution_es-90_biod-0_budget-100_resolution-10km_10km.rds,solution_es-90_biod-0_budget-100_resolution-10km_10km.tif,59348.539212070675,0.5083883795523532
es-95_biod-0_budget-100_resolution-10km,0.9500000000000001,0,1,10,812500.87686083,18.80000000000001,solution_es-95_biod-0_budget-100_resolution-10km_10km.rds,solution_es-95_biod-0_budget-100_resolution-10km_10km.tif,67708.40640506917,0.5800002404666481
es-100_biod-0_budget-100_resolution-10km,1,0,1,10,1099624.9542992038,8.170000000000016,solution_es-100_biod-0_budget-100_resolution-10km_10km.rds,solution_es-100_biod-0_budget-100_resolution-10km_10km.tif,91635.41285826698,0.7849625226015705
