scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-3km,0.05,0,1,3,141963.86712237858,207.7800000000002,solution_es-5_biod-0_budget-100_resolution-3km_3km.rds,solution_es-5_biod-0_budget-100_resolution-3km_3km.tif,11830.322260198214,0.009331177181277668
es-10_biod-0_budget-100_resolution-3km,0.1,0,1,3,329079.8200948375,203.19000000000005,solution_es-10_biod-0_budget-100_resolution-3km_3km.rds,solution_es-10_biod-0_budget-100_resolution-3km_3km.tif,27423.31834123646,0.02163016667784091
es-15_biod-0_budget-100_resolution-3km,0.15000000000000002,0,1,3,544234.7831180082,203.72000000000025,solution_es-15_biod-0_budget-100_resolution-3km_3km.rds,solution_es-15_biod-0_budget-100_resolution-3km_3km.tif,45352.898593167345,0.0357721390127434
es-20_biod-0_budget-100_resolution-3km,0.2,0,1,3,778224.6704303694,214.62999999999965,solution_es-20_biod-0_budget-100_resolution-3km_3km.rds,solution_es-20_biod-0_budget-100_resolution-3km_3km.tif,64852.05586919745,0.051152116618289035
es-25_biod-0_budget-100_resolution-3km,0.25,0,1,3,1027639.2317750324,210.7199999999998,solution_es-25_biod-0_budget-100_resolution-3km_3km.rds,solution_es-25_biod-0_budget-100_resolution-3km_3km.tif,85636.60264791937,0.06754594633477207
es-30_biod-0_budget-100_resolution-3km,0.30000000000000004,0,1,3,1291423.4978557536,222.48000000000002,solution_es-30_biod-0_budget-100_resolution-3km_3km.rds,solution_es-30_biod-0_budget-100_resolution-3km_3km.tif,107618.6248213128,0.08488428583147414
es-35_biod-0_budget-100_resolution-3km,0.35000000000000003,0,1,3,1569875.4577429628,213.05999999999995,solution_es-35_biod-0_budget-100_resolution-3km_3km.rds,solution_es-35_biod-0_budget-100_resolution-3km_3km.tif,130822.95481191356,0.10318672170370735
es-40_biod-0_budget-100_resolution-3km,0.4,0,1,3,1864606.0447620628,215.02999999999975,solution_es-40_biod-0_budget-100_resolution-3km_3km.rds,solution_es-40_biod-0_budget-100_resolution-3km_3km.tif,155383.83706350523,0.12255913937563813
es-45_biod-0_budget-100_resolution-3km,0.45,0,1,3,2178363.938973012,198.7800000000002,solution_es-45_biod-0_budget-100_resolution-3km_3km.rds,solution_es-45_biod-0_budget-100_resolution-3km_3km.tif,181530.328247751,0.14318220750031185
es-50_biod-0_budget-100_resolution-3km,0.5,0,1,3,2515571.235119921,218.1899999999996,solution_es-50_biod-0_budget-100_resolution-3km_3km.rds,solution_es-50_biod-0_budget-100_resolution-3km_3km.tif,209630.93625999344,0.1653465870072038
es-55_biod-0_budget-100_resolution-3km,0.55,0,1,3,2881435.1767392103,212.85000000000036,solution_es-55_biod-0_budget-100_resolution-3km_3km.rds,solution_es-55_biod-0_budget-100_resolution-3km_3km.tif,240119.59806160085,0.1893945460596806
es-60_biod-0_budget-100_resolution-3km,0.6000000000000001,0,1,3,3281405.3116074423,219.30000000000018,solution_es-60_biod-0_budget-100_resolution-3km_3km.rds,solution_es-60_biod-0_budget-100_resolution-3km_3km.tif,273450.4426339535,0.21568427929481215
es-65_biod-0_budget-100_resolution-3km,0.65,0,1,3,3719982.2349240878,224.53999999999996,solution_es-65_biod-0_budget-100_resolution-3km_3km.rds,solution_es-65_biod-0_budget-100_resolution-3km_3km.tif,309998.51957700733,0.24451160741739283
es-70_biod-0_budget-100_resolution-3km,0.7000000000000001,0,1,3,4199798.268061018,228.3099999999995,solution_es-70_biod-0_budget-100_resolution-3km_3km.rds,solution_es-70_biod-0_budget-100_resolution-3km_3km.tif,349983.1890050848,0.2760495509122606
es-75_biod-0_budget-100_resolution-3km,0.75,0,1,3,4725056.938922475,217.85999999999967,solution_es-75_biod-0_budget-100_resolution-3km_3km.rds,solution_es-75_biod-0_budget-100_resolution-3km_3km.tif,393754.74491020624,0.3105744044764817
es-80_biod-0_budget-100_resolution-3km,0.8,0,1,3,5305287.926827813,204.0600000000004,solution_es-80_biod-0_budget-100_resolution-3km_3km.rds,solution_es-80_biod-0_budget-100_resolution-3km_3km.tif,442107.327235651,0.348712546695059
es-85_biod-0_budget-100_resolution-3km,0.8500000000000001,0,1,3,5957507.305566792,215.65000000000055,solution_es-85_biod-0_budget-100_resolution-3km_3km.rds,solution_es-85_biod-0_budget-100_resolution-3km_3km.tif,496458.94213056605,0.39158243117650887
es-90_biod-0_budget-100_resolution-3km,0.9,0,1,3,6718127.633280511,202.3199999999997,solution_es-90_biod-0_budget-100_resolution-3km_3km.rds,solution_es-90_biod-0_budget-100_resolution-3km_3km.tif,559843.9694400426,0.44157742771643743
es-95_biod-0_budget-100_resolution-3km,0.9500000000000001,0,1,3,7693143.426513756,199,solution_es-95_biod-0_budget-100_resolution-3km_3km.rds,solution_es-95_biod-0_budget-100_resolution-3km_3km.tif,641095.285542813,0.5056644753971019
es-100_biod-0_budget-100_resolution-3km,1,0,1,3,NA,NA,NA,NA,11830.322260198214,0.009331177181277668
