scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-3km,0.05,0,1,3,1795534,31.4900000000016,solution_es-5_biod-0_budget-100_resolution-3km_3km.rds,solution_es-5_biod-0_budget-100_resolution-3km_3km.tif,149627.83333333334,0.11801908632543244
es-10_biod-0_budget-100_resolution-3km,0.1,0,1,3,1801574.8473374657,131.41999999999825,solution_es-10_biod-0_budget-100_resolution-3km_3km.rds,solution_es-10_biod-0_budget-100_resolution-3km_3km.tif,150131.23727812213,0.11841614663361882
es-15_biod-0_budget-100_resolution-3km,0.15000000000000002,0,1,3,1849580.495451913,154.63999999999942,solution_es-15_biod-0_budget-100_resolution-3km_3km.rds,solution_es-15_biod-0_budget-100_resolution-3km_3km.tif,154131.7079543261,0.12157152142960001
es-20_biod-0_budget-100_resolution-3km,0.2,0,1,3,1929522.136638524,172.9499999999971,solution_es-20_biod-0_budget-100_resolution-3km_3km.rds,solution_es-20_biod-0_budget-100_resolution-3km_3km.tif,160793.51138654366,0.12682602479862526
es-25_biod-0_budget-100_resolution-3km,0.25,0,1,3,2025995.1480695985,179.3100000000013,solution_es-25_biod-0_budget-100_resolution-3km_3km.rds,solution_es-25_biod-0_budget-100_resolution-3km_3km.tif,168832.92900579987,0.13316712258020913
es-30_biod-0_budget-100_resolution-3km,0.30000000000000004,0,1,3,2191694.8340073144,182.4200000000019,solution_es-30_biod-0_budget-100_resolution-3km_3km.rds,solution_es-30_biod-0_budget-100_resolution-3km_3km.tif,182641.2361672762,0.14405843710768693
es-35_biod-0_budget-100_resolution-3km,0.35000000000000003,0,1,3,2419224.9773537065,191.77999999999884,solution_es-35_biod-0_budget-100_resolution-3km_3km.rds,solution_es-35_biod-0_budget-100_resolution-3km_3km.tif,201602.0814461422,0.15901382064775685
es-40_biod-0_budget-100_resolution-3km,0.4,0,1,3,2675792.958683368,185.88000000000102,solution_es-40_biod-0_budget-100_resolution-3km_3km.rds,solution_es-40_biod-0_budget-100_resolution-3km_3km.tif,222982.74655694733,0.17587783922768194
es-45_biod-0_budget-100_resolution-3km,0.45,0,1,3,2952228.7840972496,181.70999999999913,solution_es-45_biod-0_budget-100_resolution-3km_3km.rds,solution_es-45_biod-0_budget-100_resolution-3km_3km.tif,246019.06534143747,0.19404775611199773
es-50_biod-0_budget-100_resolution-3km,0.5,0,1,3,3248730.8440399533,192.27000000000044,solution_es-50_biod-0_budget-100_resolution-3km_3km.rds,solution_es-50_biod-0_budget-100_resolution-3km_3km.tif,270727.57033666276,0.21353661135397395
es-55_biod-0_budget-100_resolution-3km,0.55,0,1,3,3569073.491172537,174.38999999999942,solution_es-55_biod-0_budget-100_resolution-3km_3km.rds,solution_es-55_biod-0_budget-100_resolution-3km_3km.tif,297422.7909310448,0.23459249028784984
es-60_biod-0_budget-100_resolution-3km,0.6000000000000001,0,1,3,3920166.3013965753,199.20000000000073,solution_es-60_biod-0_budget-100_resolution-3km_3km.rds,solution_es-60_biod-0_budget-100_resolution-3km_3km.tif,326680.5251163813,0.25766955409063463
es-65_biod-0_budget-100_resolution-3km,0.65,0,1,3,4310127.531364743,190.6800000000003,solution_es-65_biod-0_budget-100_resolution-3km_3km.rds,solution_es-65_biod-0_budget-100_resolution-3km_3km.tif,359177.2942803952,0.2833014096072581
es-70_biod-0_budget-100_resolution-3km,0.7000000000000001,0,1,3,4746172.974836228,186.02999999999884,solution_es-70_biod-0_budget-100_resolution-3km_3km.rds,solution_es-70_biod-0_budget-100_resolution-3km_3km.tif,395514.4145696857,0.3119623454819743
es-75_biod-0_budget-100_resolution-3km,0.75,0,1,3,5231676.258137771,192.33000000000175,solution_es-75_biod-0_budget-100_resolution-3km_3km.rds,solution_es-75_biod-0_budget-100_resolution-3km_3km.tif,435973.0215114809,0.3438741076113718
es-80_biod-0_budget-100_resolution-3km,0.8,0,1,3,5772296.977135674,181.79000000000087,solution_es-80_biod-0_budget-100_resolution-3km_3km.rds,solution_es-80_biod-0_budget-100_resolution-3km_3km.tif,481024.7480946395,0.3794086969339527
es-85_biod-0_budget-100_resolution-3km,0.8500000000000001,0,1,3,6382895.91414692,189.13000000000102,solution_es-85_biod-0_budget-100_resolution-3km_3km.rds,solution_es-85_biod-0_budget-100_resolution-3km_3km.tif,531907.9928455766,0.41954290138641503
es-90_biod-0_budget-100_resolution-3km,0.9,0,1,3,7095508.4776529875,179.48999999999796,solution_es-90_biod-0_budget-100_resolution-3km_3km.rds,solution_es-90_biod-0_budget-100_resolution-3km_3km.tif,591292.3731377489,0.46638238404116306
es-95_biod-0_budget-100_resolution-3km,0.9500000000000001,0,1,3,8003814.6346191205,176.97999999999956,solution_es-95_biod-0_budget-100_resolution-3km_3km.rds,solution_es-95_biod-0_budget-100_resolution-3km_3km.tif,666984.5528849267,0.5260846579880266
es-100_biod-0_budget-100_resolution-3km,1,0,1,3,NA,NA,NA,NA,149627.83333333334,0.11801908632543244
