scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-5km,0.05,0,1,5,55896.52301527196,70.160000000000025,solution_es-5_biod-0_budget-100_resolution-5km_5km.rds,solution_es-5_biod-0_budget-100_resolution-5km_5km.tif,4658.043584605996,0.010132048014624402
es-10_biod-0_budget-100_resolution-5km,0.1,0,1,5,129398.20096453809,72.7399999999999,solution_es-10_biod-0_budget-100_resolution-5km_5km.rds,solution_es-10_biod-0_budget-100_resolution-5km_5km.tif,10783.183413711507,0.023455283342409497
es-15_biod-0_budget-100_resolution-5km,0.15000000000000002,0,1,5,213699.8885798426,78.95000000000005,solution_es-15_biod-0_budget-100_resolution-5km_5km.rds,solution_es-15_biod-0_budget-100_resolution-5km_5km.tif,17808.324048320217,0.03873617561541839
es-20_biod-0_budget-100_resolution-5km,0.2,0,1,5,305245.57622642524,72.13,solution_es-20_biod-0_budget-100_resolution-5km_5km.rds,solution_es-20_biod-0_budget-100_resolution-5km_5km.tif,25437.131352202105,0.05533014698844208
es-25_biod-0_budget-100_resolution-5km,0.25,0,1,5,402675.19814133545,74.75999999999999,solution_es-25_biod-0_budget-100_resolution-5km_5km.rds,solution_es-25_biod-0_budget-100_resolution-5km_5km.tif,33556.266511777954,0.07299066599816406
es-30_biod-0_budget-100_resolution-5km,0.30000000000000004,0,1,5,505682.16156341345,76.46999999999991,solution_es-30_biod-0_budget-100_resolution-5km_5km.rds,solution_es-30_biod-0_budget-100_resolution-5km_5km.tif,42140.180130284454,0.091662158300968
es-35_biod-0_budget-100_resolution-5km,0.35000000000000003,0,1,5,614523.2003302848,75.04000000000008,solution_es-35_biod-0_budget-100_resolution-5km_5km.rds,solution_es-35_biod-0_budget-100_resolution-5km_5km.tif,51210.266694190395,0.11139116059412021
es-40_biod-0_budget-100_resolution-5km,0.4,0,1,5,729953.6346589228,62.26999999999998,solution_es-40_biod-0_budget-100_resolution-5km_5km.rds,solution_es-40_biod-0_budget-100_resolution-5km_5km.tif,60829.46955491023,0.13231458552069691
es-45_biod-0_budget-100_resolution-5km,0.45,0,1,5,853280.695343471,67.21000000000004,solution_es-45_biod-0_budget-100_resolution-5km_5km.rds,solution_es-45_biod-0_budget-100_resolution-5km_5km.tif,71106.72461195591,0.15466938744669395
es-50_biod-0_budget-100_resolution-5km,0.5,0,1,5,986170.0823623089,58.67000000000007,solution_es-50_biod-0_budget-100_resolution-5km_5km.rds,solution_es-50_biod-0_budget-100_resolution-5km_5km.tif,82180.84019685908,0.17875749842885644
es-55_biod-0_budget-100_resolution-5km,0.55,0,1,5,1130367.3991667088,62.690000000000055,solution_es-55_biod-0_budget-100_resolution-5km_5km.rds,solution_es-55_biod-0_budget-100_resolution-5km_5km.tif,94197.2832638924,0.20489533417658282
es-60_biod-0_budget-100_resolution-5km,0.6000000000000001,0,1,5,1287585.1289841298,79.3599999999999,solution_es-60_biod-0_budget-100_resolution-5km_5km.rds,solution_es-60_biod-0_budget-100_resolution-5km_5km.tif,107298.76074867748,0.23339330688277665
es-65_biod-0_budget-100_resolution-5km,0.65,0,1,5,1459303.216285857,76.5,solution_es-65_biod-0_budget-100_resolution-5km_5km.rds,solution_es-65_biod-0_budget-100_resolution-5km_5km.tif,121608.60135715474,0.26451967774926516
es-70_biod-0_budget-100_resolution-5km,0.7000000000000001,0,1,5,1646543.4040686754,78.01999999999998,solution_es-70_biod-0_budget-100_resolution-5km_5km.rds,solution_es-70_biod-0_budget-100_resolution-5km_5km.tif,137211.9503390563,0.29845965237638955
es-75_biod-0_budget-100_resolution-5km,0.75,0,1,5,1850930.6854386516,78.12999999999988,solution_es-75_biod-0_budget-100_resolution-5km_5km.rds,solution_es-75_biod-0_budget-100_resolution-5km_5km.tif,154244.2237865543,0.3355077841153413
es-80_biod-0_budget-100_resolution-5km,0.8,0,1,5,2076127.1922529915,75.26999999999998,solution_es-80_biod-0_budget-100_resolution-5km_5km.rds,solution_es-80_biod-0_budget-100_resolution-5km_5km.tif,173010.59935441596,0.37632788698909575
es-85_biod-0_budget-100_resolution-5km,0.8500000000000001,0,1,5,2328602.41744208,72.85000000000014,solution_es-85_biod-0_budget-100_resolution-5km_5km.rds,solution_es-85_biod-0_budget-100_resolution-5km_5km.tif,194050.20145350668,0.4220926495561706
es-90_biod-0_budget-100_resolution-5km,0.9,0,1,5,2622089.2598883477,71.61000000000013,solution_es-90_biod-0_budget-100_resolution-5km_5km.rds,solution_es-90_biod-0_budget-100_resolution-5km_5km.tif,218507.43832402898,0.4752913570770953
es-95_biod-0_budget-100_resolution-5km,0.9500000000000001,0,1,5,2997125.5459894626,68.56000000000017,solution_es-95_biod-0_budget-100_resolution-5km_5km.rds,solution_es-95_biod-0_budget-100_resolution-5km_5km.tif,249760.46216578854,0.5432720731041855
es-100_biod-0_budget-100_resolution-5km,1,0,1,5,NA,NA,NA,NA,4658.043584605996,0.010132048014624402
