scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-2km,0.05,0,1,2,258917.19410621873,381.6400000000003,solution_es-5_biod-0_budget-100_resolution-2km_2km.rds,solution_es-5_biod-0_budget-100_resolution-2km_2km.tif,21576.432842184895,0.007594980127970839
es-10_biod-0_budget-100_resolution-2km,0.1,0,1,2,600499.143495832,386.46000000000004,solution_es-10_biod-0_budget-100_resolution-2km_2km.rds,solution_es-10_biod-0_budget-100_resolution-2km_2km.tif,50041.59529131933,0.01761481726796147
es-15_biod-0_budget-100_resolution-2km,0.15000000000000002,0,1,2,995310.6034511606,386.3900000000003,solution_es-15_biod-0_budget-100_resolution-2km_2km.rds,solution_es-15_biod-0_budget-100_resolution-2km_2km.tif,82942.55028759672,0.029196068961218
es-20_biod-0_budget-100_resolution-2km,0.2,0,1,2,1426217.7895255438,390.2300000000005,solution_es-20_biod-0_budget-100_resolution-2km_2km.rds,solution_es-20_biod-0_budget-100_resolution-2km_2km.tif,118851.48246046198,0.04183613918340711
es-25_biod-0_budget-100_resolution-2km,0.25,0,1,2,1886891.2905683024,420.75,solution_es-25_biod-0_budget-100_resolution-2km_2km.rds,solution_es-25_biod-0_budget-100_resolution-2km_2km.tif,157240.94088069187,0.05534936335525237
es-30_biod-0_budget-100_resolution-2km,0.30000000000000004,0,1,2,2374662.0970305502,416.3199999999997,solution_es-30_biod-0_budget-100_resolution-2km_2km.rds,solution_es-30_biod-0_budget-100_resolution-2km_2km.tif,197888.50808587918,0.06965744974894816
es-35_biod-0_budget-100_resolution-2km,0.35000000000000003,0,1,2,2889011.746417037,399,solution_es-35_biod-0_budget-100_resolution-2km_2km.rds,solution_es-35_biod-0_budget-100_resolution-2km_2km.tif,240750.97886808644,0.08474518997958166
es-40_biod-0_budget-100_resolution-2km,0.4,0,1,2,3431590.4731457247,406.8899999999994,solution_es-40_biod-0_budget-100_resolution-2km_2km.rds,solution_es-40_biod-0_budget-100_resolution-2km_2km.tif,285965.8727621437,0.10066099140632487
es-45_biod-0_budget-100_resolution-2km,0.45,0,1,2,4005781.6289271535,415.10999999999876,solution_es-45_biod-0_budget-100_resolution-2km_2km.rds,solution_es-45_biod-0_budget-100_resolution-2km_2km.tif,333815.1357439295,0.1175041000027648
es-50_biod-0_budget-100_resolution-2km,0.5,0,1,2,4617363.021573591,431.14000000000124,solution_es-50_biod-0_budget-100_resolution-2km_2km.rds,solution_es-50_biod-0_budget-100_resolution-2km_2km.tif,384780.25179779925,0.13544399982216757
es-55_biod-0_budget-100_resolution-2km,0.55,0,1,2,5277498.945650831,413.3600000000006,solution_es-55_biod-0_budget-100_resolution-2km_2km.rds,solution_es-55_biod-0_budget-100_resolution-2km_2km.tif,439791.5788042359,0.15480818010549577
es-60_biod-0_budget-100_resolution-2km,0.6000000000000001,0,1,2,6001098.418739629,417.78000000000065,solution_es-60_biod-0_budget-100_resolution-2km_2km.rds,solution_es-60_biod-0_budget-100_resolution-2km_2km.tif,500091.5348949691,0.17603397639797766
es-65_biod-0_budget-100_resolution-2km,0.65,0,1,2,6802137.061056437,424.02999999999884,solution_es-65_biod-0_budget-100_resolution-2km_2km.rds,solution_es-65_biod-0_budget-100_resolution-2km_2km.tif,566844.7550880364,0.1995313443156797
es-70_biod-0_budget-100_resolution-2km,0.7000000000000001,0,1,2,7687753.176191568,428.8099999999995,solution_es-70_biod-0_budget-100_resolution-2km_2km.rds,solution_es-70_biod-0_budget-100_resolution-2km_2km.tif,640646.098015964,0.22550967618614898
es-75_biod-0_budget-100_resolution-2km,0.75,0,1,2,8665228.352052623,407,solution_es-75_biod-0_budget-100_resolution-2km_2km.rds,solution_es-75_biod-0_budget-100_resolution-2km_2km.tif,722102.362671052,0.25418256738550254
es-80_biod-0_budget-100_resolution-2km,0.8,0,1,2,9751936.591286015,463.7999999999993,solution_es-80_biod-0_budget-100_resolution-2km_2km.rds,solution_es-80_biod-0_budget-100_resolution-2km_2km.tif,812661.3826071679,0.28605966040889536
es-85_biod-0_budget-100_resolution-2km,0.8500000000000001,0,1,2,10980424.188149104,413.3799999999992,solution_es-85_biod-0_budget-100_resolution-2km_2km.rds,solution_es-85_biod-0_budget-100_resolution-2km_2km.tif,915035.3490124253,0.32209565607863877
es-90_biod-0_budget-100_resolution-2km,0.9,0,1,2,12422372.076650688,400.28000000000065,solution_es-90_biod-0_budget-100_resolution-2km_2km.rds,solution_es-90_biod-0_budget-100_resolution-2km_2km.tif,1035197.673054224,0.3643932161018107
es-95_biod-0_budget-100_resolution-2km,0.9500000000000001,0,1,2,14286610.885501401,395.9200000000001,solution_es-95_biod-0_budget-100_resolution-2km_2km.rds,solution_es-95_biod-0_budget-100_resolution-2km_2km.tif,1190550.9071251168,0.419078100031167
es-100_biod-0_budget-100_resolution-2km,1,0,1,2,NA,NA,NA,NA,21576.432842184895,0.007594980127970839
